exporter,importer,year,trade,Y,E,pta,contiguity,common_language,lndist,international
Mexico,USA,2021,164774981.7,494595503.44,2932976075.230,0,1,1,3000,1
New Zealand,USA,2021,458708.71,44325287.82,2932976075.230,0,0,1,14000,1
Peru,USA,2021,2369367.51,56260115.20,2932976075.230,1,0,0,7500,1
Singapore,USA,2021,1256316.33,457473986.07,2932976075.230,1,0,1,16000,1
UK,USA,2021,200044.48,470547786.03,2932976075.230,0,0,1,6500,1
Vietnam,USA,2021,81148418.64,335792597.81,2932976075.230,0,0,0,13000,1
China,USA,2021,396153567.7,3362301613.440,2932976075.230,1,0,0,11000,1
Germany,USA,2021,57805030.93,1635599573.790,2932976075.230,1,0,0,6900,1
France,USA,2021,10157175.96,585148036.600,2932976075.230,1,0,1,6300,1
Italy,Mexico,2021,3299137.74,615910260.060,506565459.47,1,0,0,10000,1
Brazil,Mexico,2021,789804.260,280814577.460,506565459.47,1,0,1,8000,1
Russia,Australia,2021,502305.98,492313790.700,261586379.46,1,0,0,14000,1
USA,USA,2021,1179839367.120,1753136708.110,2932976075.230,0,0,1,0,0
USA,Australia,2021,14561511.630,1753136708.110,261586379.46,1,0,1,14500,1
USA,Brunei,2021,79086.810,1753136708.110,8574738.53,1,0,0,15000,1
USA,Canada,2021,56977934.320,1753136708.110,491400949.55,1,1,1,3500,1
USA,Chile,2021,1379588.150,1753136708.110,92190957.18,1,0,0,8000,1
USA,Japan,2021,64428977.480,1753136708.110,772276197.10,1,0,0,10000,1
USA,Malaysia,2021,42669634.030,1753136708.110,238249762.71,1,0,0,15000,1
USA,Mexico,2021,111898670.000,1753136708.110,506565459.47,1,1,0,3000,1
USA,New Zealand,2021,1433850.790,1753136708.110,49221408.96,1,0,1,13500,1
USA,Peru,2021,2906533.170,1753136708.110,51177707.72,1,0,0,7500,1
USA,Singapore,2021,5911006.100,1753136708.110,406622366.68,1,0,1,16000,1
USA,UK,2021,4481415.990,1753136708.110,688236538.50,1,0,1,6500,1
USA,Vietnam,2021,97248281.010,1753136708.110,330752261.35,1,0,0,13000,1
USA,India,2021,36889355.830,1753136708.110,570402004.49,1,0,1,12800,1
USA,China,2021,390466174.850,1753136708.110,2684362678.520,1,0,0,11000,1
USA,Germany,2021,73388205.340,1753136708.110,1424674986.140,1,0,0,6900,1
USA,France,2021,21010470.200,1753136708.110,714842314.540,1,0,0,6300,1
USA,Italy,2021,41334143.010,1753136708.110,568202425.250,1,0,0,7200,1
USA,Brazil,2021,14039029.910,1753136708.110,234690442.200,1,0,0,9000,1
USA,Russia,2021,24374020.570,1753136708.110,293497128.020,1,0,0,8000,1
China,Australia,2021,97346052.960,3362301613.440,261586379.46,1,0,0,8500,1
China,Brunei,2021,1582783.170,3362301613.440,8574738.53,1,0,0,3000,1
China,Canada,2021,21060419.660,3362301613.440,491400949.55,1,0,0,9000,1
China,Chile,2021,13165837.120,3362301613.440,92190957.18,1,0,0,18000,1
China,Japan,2021,39700749.970,3362301613.440,772276197.10,1,0,0,2500,1
China,Malaysia,2021,19494807.360,3362301613.440,238249762.71,1,0,0,4000,1
China,Mexico,2021,48298157.950,3362301613.440,506565459.47,1,0,0,13000,1
China,New Zealand,2021,7594401.530,3362301613.440,49221408.96,1,0,0,9000,1
China,Peru,2021,10882539.640,3362301613.440,51177707.72,1,0,0,20000,1
China,Singapore,2021,16412207.570,3362301613.440,406622366.68,1,0,0,3000,1
China,UK,2021,61376839.260,3362301613.440,688236538.50,1,0,0,8500,1
China,Vietnam,2021,45588903.410,3362301613.440,330752261.35,1,1,0,2300,1
China,India,2021,69373320.210,3362301613.440,570402004.49,1,1,0,4500,1
China,China,2021,677938934.920,3362301613.440,2684362678.520,0,0,1,0,0
China,Germany,2021,4738149.650,3362301613.440,1424674986.140,1,0,0,7500,1
China,France,2021,7261557.090,3362301613.440,714842314.540,1,0,0,8000,1
China,Italy,2021,13307466.000,3362301613.440,568202425.250,1,0,0,8000,1
China,Brazil,2021,56265651.890,3362301613.440,234690442.200,1,0,0,1800,1
China,Russia,2021,11420556.300,3362301613.440,293497128.020,1,1,0,4000,1
Germany,Australia,2021,8622910.350,1635599573.790,261586379.46,1,0,0,16000,1
