exporter,importer,year,trade,Y,E,pta,contiguity,common_language,lndist,international
UK,Chile,2021,14136.45,470547786.03,92190957.18,1,0,0,11644,1
Australia,India,2021,7254797.05,342036103.27,570402004.49,1,0,1,7809,1
Brunei,India,2021,380150.14,11058184.37,570402004.49,1,0,0,4346,1
Canada,India,2021,2423641.00,501538854.87,570402004.49,0,0,1,11462,1
Chile,India,2021,5606.39,94676809.21,570402004.49,1,0,0,16681,1
Japan,India,2021,6710011.11,757066261.25,570402004.49,1,0,0,5968,1
Malaysia,India,2021,4984843.28,299230434.39,570402004.49,1,0,1,3081,1
Mexico,India,2021,5243013.12,494595503.44,570402004.49,1,0,0,15108,1
New Zealand,India,2021,383135.22,44325287.82,570402004.49,0,0,1,11963,1
Singapore,India,2021,12624314.70,457473986.07,570402004.49,1,0,1,3440,1
Vietnam,India,2021,689537.53,335792597.81,570402004.49,0,0,0,3194,1
Peru,India,2021,1397850.99,56260115.20,570402004.49,0,0,0,16941,1
India,India,2021,175588331.14,394813673.35,570402004.49,0,0,1,0,0
UK,India,2021,5248351.46,470547786.03,570402004.49,0,0,1,6727,1
Australia,Japan,2021,14540749.56,342036103.27,772276197.10,1,0,0,6848,1
Canada,Japan,2021,754409.85,501538854.87,772276197.10,1,0,0,8078,1
Chile,Japan,2021,5098030.72,94676809.21,772276197.10,1,0,0,17332,1
India,Japan,2021,8335076.37,394813673.35,772276197.10,1,0,0,5968,1
Malaysia,Japan,2021,376067.63,299230434.39,772276197.10,1,0,0,5134,1
Mexico,Japan,2021,13101753.11,494595503.44,772276197.10,1,0,0,10791,1
New Zealand,Japan,2021,623220.83,44325287.82,772276197.10,1,0,0,9346,1
Peru,Japan,2021,1755853.30,56260115.20,772276197.10,0,0,0,15501,1
Singapore,Japan,2021,18355090.67,457473986.07,772276197.10,1,0,0,5241,1
Vietnam,Japan,2021,2483670.80,335792597.81,772276197.10,0,0,0,3863,1
Brunei,Japan,2021,1916997.82,11058184.37,772276197.10,1,0,0,4262,1
Japan,Japan,2021,15209935.85,757066261.25,772276197.10,0,0,1,0,0
UK,Japan,2021,2025329.94,470547786.03,772276197.10,1,0,0,9634,1
Australia,Peru,2021,79592.58,342036103.27,51177707.72,1,0,0,12854,1
Canada,Peru,2021,2300816.47,501538854.87,51177707.72,1,0,0,7815,1
Chile,Peru,2021,146207.91,94676809.21,51177707.72,1,1,1,2964,1
Brunei,Peru,2021,27.37,11058184.37,51177707.72,1,0,0,18810,1
Japan,Peru,2021,2161106.09,757066261.25,51177707.72,1,0,0,15501,1
Malaysia,Peru,2021,86255.74,299230434.39,51177707.72,1,0,0,19020,1
India,Peru,2021,1697309.09,394813673.35,51177707.72,1,0,0,16941,1
Singapore,Peru,2021,73306.59,457473986.07,51177707.72,1,0,0,19122,1
Vietnam,Peru,2021,486221.84,335792597.81,51177707.72,0,0,0,19354,1
New Zealand,Peru,2021,42924.08,44325287.82,51177707.72,1,0,0,10972,1
Mexico,Peru,2021,888566.77,494595503.44,51177707.72,1,0,1,4708,1
Peru,Peru,2021,5082407.48,56260115.20,51177707.72,0,0,1,0,0
UK,Peru,2021,697889.44,470547786.03,51177707.72,1,0,0,9905,1
Australia,Vietnam,2021,1635754.28,342036103.27,330752261.35,1,0,0,5170,1
Canada,Vietnam,2021,7318061.69,501538854.87,330752261.35,1,0,0,11565,1
Chile,Vietnam,2021,1040318.09,94676809.21,330752261.35,1,0,0,17600,1
India,Vietnam,2021,436925.06,394813673.35,330752261.35,1,0,0,3194,1
Japan,Vietnam,2021,2897036.44,757066261.25,330752261.35,1,0,0,3863,1
Malaysia,Vietnam,2021,5246720.84,299230434.39,330752261.35,1,0,0,1298,1
New Zealand,Vietnam,2021,317228.18,44325287.82,330752261.35,1,0,0,9158,1
Peru,Vietnam,2021,771498.12,56260115.20,330752261.35,0,0,0,19354,1
Singapore,Vietnam,2021,15670802.01,457473986.07,330752261.35,1,0,0,1488,1
Brunei,Vietnam,2021,150842.43,11058184.37,330752261.35,1,0,0,1269,1
Mexico,Vietnam,2021,8481580.85,494595503.44,330752261.35,1,0,0,14639,1
Vietnam,Vietnam,2021,5040336.46,335792597.81,330752261.35,0,0,1,0,0
UK,Vietnam,2021,5518544.87,470547786.03,330752261.35,1,0,0,9468,1
Australia,Malaysia,2021,6097153.05,342036103.27,238249762.71,1,0,1,4743,1
Brunei,Malaysia,2021,1363701.28,11058184.37,238249762.71,1,1,1,1416,1
Canada,Malaysia,2021,2216674.88,501538854.87,238249762.71,1,0,0,12819,1
